,StreamID,Brick,count,first_t,last_t,mean,std,nUnique,min,q1,median,q3,max
0,91a33945_fc2d_4afe_9dad_1af5f348b2fa,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,b79352ab_19dd_4fc5_a216_2e183d549097,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,e2f17c0a_e29f_4a87_a846_91933b45ea57,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,263b06e9_6d78_4121_ac8a_1a050008c64c,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,a1282212_8b8a_493a_ae8f_6d7dfc61f1b1,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,894d8c8e_79a4_4841_ab56_aa360d94d85d,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ac191a67_0c19_4ce2_8036_1de0f92116c3,Emergency_Push_Button_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,c2295218_7d6d_4f5f_943c_d82b0516ab80,Emergency_Push_Button_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,fb32366c_4079_4cb0_aa08_460f91ba997f,Operating_Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9614732c_c66e_4aa7_a459_4e692e4e56e6,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6314fa27_3728_426a_8b68_96046f6ca670,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,e77d9282_f7f6_44c9_bfab_ec2a13d683d6,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,11f74904_ab71_4ae4_a26e_587257efe361,Discharge_Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,c4b8aa18_470a_45dd_b52b_2ad9136b7f9e,Discharge_Air_Flow_Setpoint,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5625d904_5b03_421f_8f9b_41657f7774b7,Discharge_Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5cc22788_ab4e_45a1_8c83_e889718415c9,Discharge_Air_Flow_Setpoint,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,055ed172_84ad_4177_8992_361b213b9779,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,31197f35_4569_41fa_bb33_c20d12b16aca,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,d8744f80_6985_44b9_8175_dd45bc1e5e1f,Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,276efdaa_80f7_4d1d_8cea_04f501744b01,Enable_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,73c19059_1812_4b45_b775_413b06c4e29f,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,a7330f86_8983_4e89_b1db_69975866c0ed,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ab9ef1e5_012f_45d0_adf7_c3c3254f67ef,Point,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,5477b26f_c054_4b84_8e86_20a247625570,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,b74fba74_5cb3_4efa_b0e2_428e3c4eadcb,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2e5eecef_74fc_4695_9278_136357651581,Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,383f1818_42bf_47a1_a43f_1221f6a078e6,Enable_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,068540b4_2f60_45c5_ad66_d2adf63a3275,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,432db230_a45d_461c_bcf1_ab6f34cc082b,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ec9e5ae9_b1d9_4531_95f6_8b7f3e2a6f28,Point,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,926d9b6f_9210_489b_80f9_998dbb9fae21,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9a486ec0_af6f_4916_a23f_ad6b4d98ef6c,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,64760ad4_4aa1_4298_b13c_dfd481e9a1d9,Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,b5c49573_44d5_423d_951c_7812b9c3dc5b,Enable_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,006ea896_b0a1_4c5f_a910_969d73aef3d6,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,821ca754_60de_446e_87d1_a917a50e00bb,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,aa70f5ed_0c00_49b8_96fc_9780bdd13b9a,Point,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,53c1a1f1_bdc5_4ff9_ac53_69a6b18d34c3,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3e045b5f_17b6_4eee_ab2a_a9896f8be4d8,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,940871d8_c596_4683_aa06_7d63764b5503,Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,da6ea3d0_ec87_4012_a854_a58637efe58c,Enable_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,d455932e_3752_4355_87ab_130d5874f4cb,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,cf73b961_2751_4ace_9010_0c298fd66033,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,db8d808a_c5d0_4479_937e_b8823ddde708,Point,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,97aaa7a5_72b0_437c_99ee_815e767265c7,Time_Parameter,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,c69aade6_88c0_419f_acb9_39901a716d7b,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,5b0aaa9a_faff_4bf2_91fd_fe283dc97bf9,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1b141d1d_e951_4d97_a3a7_ccb1c955e849,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,389a66e5_596d_4621_aa46_318a94167355,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,5aa6ce82_555f_4561_8783_63d272584d37,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,4b330e13_3b8b_483a_b420_9df7d3a67559,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2930bbc6_1849_4de2_a915_394361a25e89,Emergency_Push_Button_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,263f7d39_75b4_486c_a7d4_8a989b4abc9f,Emergency_Push_Button_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,d9740849_663b_469d_9105_de05d6dfac7d,Operating_Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,9194fd47_c8b2_45af_8166_f57f0d125b31,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,c5808159_d153_40db_b838_48e8988c82f3,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,083c4569_7714_4c37_be28_6cb7f1d59c72,Mode_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,bfe4a818_874b_44b5_a5f8_24acea273b0c,Discharge_Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8295e60b_ecce_4c52_a769_336b424c6f7d,Discharge_Air_Flow_Setpoint,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1b473d38_fbdc_4a13_b21c_965df928abe1,Discharge_Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,c3eade9e_48f6_4ce9_911c_11bb3be8c185,Discharge_Air_Flow_Setpoint,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,8df230f5_ff09_4429_8b18_8c3df46d7dc6,Relative_Humidity_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0a8f85a7_b41c_4dc6_99b9_e991ceaaf20a,Relative_Humidity_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,fad7336a_4f72_4a7a_b66e_c1fb07408a83,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,c87d69ca_ce75_49ff_b84a_dab702d5e20b,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,bd2be623_158c_4266_86a9_61423bd014af,Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,debf4a97_ce86_4f7c_b01d_7b4702b3c4e6,Enable_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,5d9eb7c7_2bc0_42e5_9d27_1c38bcc16327,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,c5675f44_1940_421b_b725_86e98d5c696f,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0db82302_2219_4ddf_91d8_7e1c8a1c1362,Point,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,eb9d911f_cdaa_4bcf_a91a_13e038e7e6f9,Damper_Position_Command,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2611cdaa_41fa_4937_9659_cb72abbe4fbd,Air_Flow_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,adb9b223_9535_4cf9_8c30_bd79fdba09f4,Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,60929079_e9ec_45da_b495_e2b672839053,Enable_Status,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,e9b6621d_9cc9_4dcf_b6ce_eb6fcaf8814b,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,14f954f8_66e9_4e38_b0c0_4c9c23602296,Position_Sensor,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,6ac8c90f_9bcb_42da_91d8_e3d79041d284,Point,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
